Tipo.Registro,Protocolo.BATEU,Data,Hora,Via.Primária,Via.Secundária,Cruzamento,Número.(KM),Condição.Climática,Tipo.de.Acidente,Tipo.de.Veículo,Vítimas,Resultado,Tipo.Envolvido,Faixa.Etária,Categoria.Etilométrico,Subtipo.Etilométrico,Qtd..Veículos.Envolidos,Qtd..Pessoas.Envolvidas,Qtd..Vítimas,address,lat,long,UTM_x,UTM_y
BATEU Local,1226301,12/05/2011,14:00,Rua Olegario Reis Do Amaral,Rua Arthur Martins Franco,Rua Olegario Reis Do Amaral X Rua Arthur Martins Franco,1247,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,-,-,-,Sem Info.,Sem Info.,1,0,0,Rua Olegario Reis Do Amaral 1247,-25.5012599,-49.33538,667303.333777023,7178500.04553509
BATEU Local,1217101,21/05/2011,11:00,Rua Nicola Pellanda,Rua Leonildo Burbello,Rua Nicola Pellanda X Rua Leonildo Burbello,0,Bom,ABALROAMENTO LATERAL,BICICLETA,SEM VÍTIMAS,Não informado,CONDUTOR,07 - 60 ou mais,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Nicola Pellanda X Rua Leonildo Burbello,-25.55047,-49.29283,671510.623678979,7172994.96036408
BATEU Local,1216701,24/05/2011,22:00,Rua Sebastiao Alves Ferreira,Rua Albino Kaminski,Rua Sebastiao Alves Ferreira X Rua Albino Kaminski,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Sebastiao Alves Ferreira X Rua Albino Kaminski,-25.40999,-49.20362,680684.862092641,7188437.72438975
BATEU Local,889601,20/05/2011,20:00,Rua Capitao Argemiro Monteiro Wanderley,Avenida Winston Churchill,Rua Capitao Argemiro Monteiro Wanderley X Avenida Winston Churchill,114,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Rua Capitao Argemiro Monteiro Wanderley 114,-25.5102522,-49.2961849,671230.623103994,7177454.11585684
BATEU Local,772301,10/09/2011,12:00,Rua Herculano De Araujo Filho,Rua Emilio Romani,Rua Herculano De Araujo Filho X Rua Emilio Romani,2991,Bom,ATROPELAMENTO,BICICLETA,COM VÍTIMAS,Não informado,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,0,Rua Herculano De Araujo Filho 2991,-25.52823,-49.33731,667071.97132832,7175515.10600043
BATEU Local,530101,01/09/2011,18:00,Rua Romano Bertagnoli,Avenida Candido Hartmann,Rua Romano Bertagnoli X Avenida Candido Hartmann,0,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,05 - Entre 41 e 50 anos,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Romano Bertagnoli X Avenida Candido Hartmann,-25.42295,-49.30446,670521.91852983,7187134.89160571
BATEU Local,16239,12/12/2011,17:00,Rua Waldemar Loureiro Campos,Rua Bartolomeu Lourenco De Gusmao,Rua Waldemar Loureiro Campos X Rua Bartolomeu Lourenco De Gusmao,3685,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,SEM VÍTIMAS,Não informado,CONDUTOR,02 - Entre 12 e 17 anos,Sem Info.,Sem Info.,1,1,0,Rua Waldemar Loureiro Campos 3685,-25.5114355,-49.2576333,675104.026707957,7177272.83784112
BATEU Local,16183,06/12/2011,17:00,Rua Adriana Ceres Zago Bueno,Avenida Pero Vaz De Caminha,Rua Adriana Ceres Zago Bueno X Avenida Pero Vaz De Caminha,1160,Bom,COLISAO FRONTAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,RESPONSAVEL,04 - Entre 30 e 40 anos,Sem Info.,Sem Info.,1,1,0,Rua Adriana Ceres Zago Bueno 1160,-25.56411,-49.33441,667313.587302381,7171537.15952168
BATEU Local,16159,13/12/2011,11:00,Avenida Marechal Floriano Peixoto,Avenida Iguacu,Avenida Marechal Floriano Peixoto X Avenida Iguacu,550,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Sem Info.,Sem Info.,1,1,1,Avenida Marechal Floriano Peixoto 550,-25.4354438,-49.2697532,673995.128528153,7185706.17007667
BATEU Local,12410,14/10/2011,12:00,Rua Diogo Mugiatti,Rua Das Carmelitas,Rua Diogo Mugiatti X Rua Das Carmelitas,4343,Nublado,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,02 - Entre 12 e 17 anos,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Diogo Mugiatti 4343,-25.51169,-49.2309,677790.826399238,7177209.17087155
BATEU Local,12334,16/07/2011,12:00,Rua Nova Esperanca,-,Rua Nova Esperanca X ,506,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,03 - Entre 18 e 29 anos,Não Embriagado,Não realizou teste etilométrico,1,1,0,Rua Nova Esperanca 506,-25.54429,-49.27519,673292.05074886,7173656.60622341
BATEU Local,12299,04/09/2011,19:00,Rua Brasilio Itibere,-,Rua Brasilio Itibere X ,200,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Ferimento,CONDUTOR,08 - Não informada,Não Embriagado,Não realizou teste etilométrico,1,1,1,Rua Brasilio Itibere 200,-25.4387139,-49.2472278,676255.987615705,7185314.36168847
BATEU Local,12239,20/10/2011,11:00,Rua Jose Zaleski,Rua Deputado Ardinal Ribas,Rua Jose Zaleski X Rua Deputado Ardinal Ribas,561,Bom,ABALROAMENTO TRANSVERSAL,BICICLETA,COM VÍTIMAS,Sem Ferimentos,CONDUTOR,03 - Entre 18 e 29 anos,Sem Info.,Sem Info.,1,1,0,Rua Jose Zaleski 561,-25.50158,-49.3016,670698.578202942,7178421.67133051
